;id;title;authors;identifier;publisher;img_url;creator_id;identifier_type
1463;1521;Love Tommy: Letters Home, from the Great War to the Present Day;Andrew Roberts & The Imperial War Museum;1849087911;Osprey;http://ecx.images-amazon.com/images/I/41hE--vNykL._SL500_AA300_.jpg;1;ASIN
1464;1522;Women at War;Arthur Marwick;6344968;HarperCollins Distribution Services;http://ecx.images-amazon.com/images/I/519BrXan0ML._AA300_.jpg;1;ASIN
1465;1523;Six weeks;John Lewis-Stempel;1409102149;Orion;http://s185.photobucket.com/albums/x294/Deppjules/?action=view&current=51jyke-q6NL.jpg;40;ASIN
1466;1524;The Battle on the Aisne 1914: The BEF and the Birth of the Western Front;Jerry Murland;1848847696;Pen & Sword Military;http://ecx.images-amazon.com/images/I/61voJBBcYdL._SL500_AA300_.jpg;1;ASIN
1467;1525;The Irish on the Somme;Steven Moore;954971515;Local Press Ltd;http://ecx.images-amazon.com/images/I/61AV3EKSNFL._SL500_AA300_.jpg;1;ASIN
1468;1526;The Irish at the Front;Michael MacDonagh;1163356719;Kessinger Publishing;http://ecx.images-amazon.com/images/I/51HBpedIvML._BO2,204,203,200_PIsitb-sticker-arrow-click,TopRight,35,-76_AA300_SH20_OU02_.jpg;1;ASIN
1469;1527;Men in War;Andreas Latzko;144444302X;Aeterna;http://ecx.images-amazon.com/images/I/21HGce3C5aL._BO2,204,203,200_PIsitb-sticker-arrow-click,TopRight,35,-76_AA300_SH20_OU02_.jpg;1;ASIN
1470;1528;Deserteurs voor de Vlaamse zaak;Prof. dr. Jos Monballyu;9,78906E+12;De Klaproos;http://www.klaproos.be/images/deserteurs_cover.jpg;1;ASIN
1471;1529;De kleine mens in de Grote Oorlog;Lut Ureel;9055081028;De Klaproos;http://www.klaproos.be/images/kleine_cover.jpg;1;ASIN
1472;1530;1918 du Chemin des dames à la Marne;Gil Alcaix;2846731535;Ysec Editions;http://ecx.images-amazon.com/images/I/514jNR3XAHL._SL500_AA300_.jpg;1;ASIN
1473;1531;The Great War Explained;Philip Stevens;1848847645;Pen & Sword Military;http://ecx.images-amazon.com/images/I/61UqBp1XG8L._BO2,204,203,200_PIsitb-sticker-arrow-click,TopRight,35,-76_AA300_SH20_OU02_.jpg;1;ASIN
1474;1532;David Jones in the Great War;Thomas Dilworth;1907587241;Enitharmon Press;http://ecx.images-amazon.com/images/I/41dbXq7x%2BjL._SL500_AA300_.jpg;1;ASIN
1475;1533;A Gunner's Great War: An Artilleryman's Experience from the Somme to the Subcontinent;Ian Ronayne;1848846088;Pen & Sword Military;http://ecx.images-amazon.com/images/I/61XHVbN75OL._SL500_AA300_.jpg;1;ASIN
1476;1534;Salute of Guns;Donald Boyd;1848848501;Pen & Sword Military;http://ecx.images-amazon.com/images/I/51NJCijQCNL._SL500_AA300_.jpg;1;ASIN
1477;1535;The Kaiser's Reluctant Conscript;Dominik Richert;1781590338;Pen & Sword Military;http://ecx.images-amazon.com/images/I/511wheUpGtL._SL500_AA300_.jpg;1;ASIN
1478;1536;An Anzac on the Western Front: The Personal Recollections of an Australian Infantryman from 1916 to 1918;H. R. Williams;184884767X;Pen & Sword Military;http://ecx.images-amazon.com/images/I/51j6SITudoL._SL500_AA300_.jpg;1;ASIN
